Date,Content,Source
2024-07-26 20:12:51+07:00,"Chiều tối 26/7, báo điện tử Pasaxon và trang điện tử của Thông tấn xã Lào đăng tin cho biết, bà Ngô Thị Mận, Phu nhân Tổng Bí thư Nguyễn Phú Trọng đã gặp riêng Đoàn đại biểu cấp cao Đảng, Nhà nước Lào để bày tỏ cảm ơn tình cảm dành cho Tổng Bí thư Nguyễn Phú Trọng.",https://nhandan.vn/phu-nhan-tong-bi-thu-nguyen-phu-trong-tran-trong-nhung-tinh-cam-dang-nha-nuoc-lao-danh-cho-tong-bi-thu-nguyen-phu-trong-post821297.html
2024-07-26 20:09:21+07:00,"Chiều 26/7, tại Hà Nội, Thủ tướng Phạm Minh Chính tiếp Bộ trưởng Văn phòng Thủ tướng, Đặc phái viên của Thủ tướng Thái Lan Jakkapong Sangmanee sang chia buồn với Đảng, Nhà nước, Nhân dân Việt Nam và dự Lễ Quốc tang Tổng Bí thư Nguyễn Phú Trọng.",https://nhandan.vn/anh-thu-tuong-pham-minh-chinh-tiep-bo-truong-van-phong-thu-tuong-thai-lan-post821300.html
2024-07-26 20:07:48+07:00,"Kỷ niệm 77 năm Ngày Thương binh-Liệt sĩ (27/7/1947-27/7/2024), chiều 26/7, tại Phnom Penh, Đại sứ quán và Cơ quan Tùy viên Quốc phòng Việt Nam tại Vương quốc Campuchia phối hợp Bộ Quốc phòng Campuchia tổ chức Lễ dâng hương tại Đài Hữu nghị Việt Nam-Campuchia.",https://nhandan.vn/ky-niem-77-nam-ngay-thuong-binh-liet-si-tai-campuchia-post821295.html
2024-07-26 19:50:59+07:00,"Tổng Bí thư Nguyễn Phú Trọng là một nhà lãnh đạo đặc biệt xuất sắc có nhiều cống hiến to lớn cho sự nghiệp cách mạng vẻ vang của Đảng và dân tộc. Đồng chí vừa là nhà lãnh đạo của Đảng, vừa là nhà lý luận có nhiều cống hiến xuất sắc, nổi bật trong công tác lý luận.",https://nhandan.vn/quan-diem-dinh-huong-cua-tong-bi-thu-nguyen-phu-trong-soi-duong-cho-doi-moi-to-chuc-xay-dung-doi-ngu-can-bo-cong-doan-post821281.html
2024-07-26 19:45:52+07:00,"Cùng với hàng triệu trái tim trong cả nước, cán bộ, chiến sĩ Bộ Chỉ huy Bộ đội Biên phòng tỉnh Sơn La trang nghiêm, xúc động, kính trọng, hướng lòng về Thủ đô trong Lễ tiễn đưa đồng chí Nguyễn Phú Trọng, Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam.",https://nhandan.vn/can-bo-chien-si-bo-doi-bien-phong-son-la-nghen-ngao-trong-le-tien-dua-dong-chi-tong-bi-thu-nguyen-phu-trong-post821294.html
2024-07-26 18:05:58+07:00,"Ngày 26/7, Ban Chấp hành Trung ương Đảng, Quốc hội, Chủ tịch nước, Chính phủ, Ủy ban Trung ương Mặt trận Tổ quốc Việt Nam và gia đình đã tổ chức trọng thể Lễ truy điệu đồng chí Nguyễn Phú Trọng, Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam, theo nghi thức Quốc tang tại Nhà Tang lễ Quốc gia, số 5 Trần Thánh Tông (Hà Nội); Hội trường Thống Nhất (Thành phố Hồ Chí Minh) và Nhà Văn hóa, thôn Lại Đà, xã Đông Hội, huyện Đông Anh, thành phố Hà Nội.",https://nhandan.vn/cu-hanh-trong-the-le-truy-dieu-va-an-tang-tong-bi-thu-nguyen-phu-trong-post821286.html
2024-07-26 18:28:24+07:00,"Vào lúc 15 giờ ngày 26/7, Lễ an táng đồng chí Nguyễn Phú Trọng, Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam được tổ chức tại Nghĩa trang Mai Dịch, thành phố Hà Nội.",https://nhandan.vn/anh-le-an-tang-tong-bi-thu-nguyen-phu-trong-post821289.html
2024-07-26 18:42:35+07:00,"Những ngày qua, hàng trăm tổ chức nhân dân, tổ chức phi chính phủ nước ngoài, các cá nhân (là những bạn bè, đối tác của Liên hiệp các tổ chức hữu nghị Việt Nam và các tổ chức thành viên) từ khắp nơi trên thế giới đã gửi điện, thư, thông điệp chia buồn tới Đảng, Nhà nước, nhân dân Việt Nam, Liên hiệp các tổ chức hữu nghị Việt Nam và các tổ chức thành viên trung ương và địa phương.",https://nhandan.vn/hang-tram-to-chuc-nhan-dan-toan-the-gioi-thuong-xot-chia-buon-tong-bi-thu-nguyen-phu-trong-tu-tran-post821285.html
2024-07-26 18:33:22+07:00,"Ngày 26/7, tại Bắc Kinh, nhiều cơ quan, bộ, ngành, địa phương và nhân sĩ hữu nghị Trung Quốc, đại diện Đoàn ngoại giao tại Bắc Kinh và đông đảo cộng đồng người Việt Nam tiếp tục đến Đại sứ quán Việt Nam tại Trung Quốc để viếng và tưởng niệm đồng chí Nguyễn Phú Trọng, Tổng Bí thư Ban Chấp hành Trung ương Đảng Cộng sản Việt Nam.",https://nhandan.vn/hai-nhan-si-huu-nghi-trung-quoc-tang-buc-tranh-chan-dung-tong-bi-thu-nguyen-phu-trong-post821288.html
2024-07-26 17:56:53+07:00,"Biết tin Đại sứ quán Việt Nam tại Thái Lan tổ chức lễ viếng Tổng Bí thư Nguyễn Phú Trọng, trong hai ngày 25 và 26/7, hàng chục đoàn kiều bào và cá nhân từ khắp mọi miền của Thái Lan đã tới thủ đô Bangkok để gửi lời tiễn biệt tới nhà lãnh đạo đặc biệt xuât sắc của Đảng, Nhà nước và nhân dân Việt Nam. Những lời tiếc thương, cảm phục, những dòng cảm xúc ngưỡng mộ Tổng Bí thư do phóng viên Báo Nhân Dân thường trú tại Thái Lan ghi nhận.",https://nhandan.vn/anh-cong-dong-nguoi-viet-tai-thai-lan-nghen-ngao-tiec-thuong-tong-bi-thu-nguyen-phu-trong-post821264.html
2024-07-18 20:08:40+07:00,"Chiều 18/7, Bộ Chỉ huy Bộ đội Biên phòng tỉnh Sơn La đã tổ chức Đại hội thi đua quyết thắng Bộ đội Biên phòng tỉnh Sơn La giai đoạn 2019-2024.",https://nhandan.vn/dai-hoi-thi-dua-quyet-thang-bo-doi-bien-phong-tinh-son-la-post819829.html
2024-07-26 19:43:25+07:00,"Ngày 26/7, tại Trụ sở Chính phủ, Thủ tướng Phạm Minh Chính đã tiếp xã giao ông Jakkapong Sangmanee, Bộ trưởng Văn phòng Thủ tướng, Đặc phái viên của Thủ tướng Thái Lan nhân dịp sang viếng Tổng Bí thư Nguyễn Phú Trọng.",https://nhandan.vn/no-luc-trien-khai-hieu-qua-chien-luoc-ba-hop-tac-giua-viet-nam-va-thai-lan-post821298.html
2024-07-26 19:27:41+07:00,"Ngày 26/7, tại Hà Nội, Hội Cựu giáo chức Việt Nam phối hợp Viện nghiên cứu hợp tác phát triển giáo dục tổ chức Hội thảo khoa học “ Giáo sư, Viện sĩ, Nhà giáo Nhân dân Phạm Minh Hạc với sự phát triển khoa học giáo dục Việt Nam”.",https://nhandan.vn/giao-su-vien-si-nha-giao-nhan-dan-pham-minh-hac-voi-su-phat-trien-khoa-hoc-giao-duc-viet-nam-post821296.html
2024-07-26 18:59:29+07:00,"Nhân kỷ niệm 77 năm Ngày Thương binh-Liệt sĩ (27/7/1947-27/7/2024) và hướng đến Kỷ niệm 60 năm Chiến thắng trận đầu của Hải quân nhân dân Việt Nam và quân dân miền bắc (ngày 2 và 5/8/1964-ngày 2 và 5/8/2024), các đơn vị trong lực lượng Hải quân đã tổ chức nhiều hoạt động đền ơn đáp nghĩa, tri ân các anh hùng liệt sĩ, gia đình chính sách, người có công với cách mạng.",https://nhandan.vn/hai-quan-nhan-dan-viet-nam-to-chuc-nhieu-hoat-dong-den-on-dap-nghia-post821291.html
